2020-01-16 09:37:47 T: 22.91 degC, P: 1023.88 hPa, H: 38.78 %rH, G: 131890 Ohms
2020-01-16 09:37:42 T: 22.94 degC, P: 1023.88 hPa, H: 38.78 %rH, G: 130655 Ohms
2020-01-16 09:37:37 T: 22.98 degC, P: 1023.88 hPa, H: 38.76 %rH, G: 129544 Ohms
2020-01-16 09:37:32 T: 23.02 degC, P: 1023.86 hPa, H: 38.88 %rH, G: 127863 Ohms
2020-01-16 09:37:27 T: 23.06 degC, P: 1023.88 hPa, H: 39.03 %rH, G: 125280 Ohms
2020-01-16 09:37:22 T: 23.10 degC, P: 1023.86 hPa, H: 39.15 %rH, G: 123708 Ohms
2020-01-16 09:37:17 T: 23.13 degC, P: 1023.82 hPa, H: 39.25 %rH, G: 119643 Ohms
2020-01-16 09:37:12 T: 23.17 degC, P: 1023.80 hPa, H: 39.13 %rH, G: 117297 Ohms
2020-01-16 09:37:07 T: 23.19 degC, P: 1023.80 hPa, H: 38.14 %rH, G: 110927 Ohms
2020-01-16 09:37:02 T: 23.22 degC, P: 1023.82 hPa, H: 37.37 %rH, G: 105879 Ohms
2020-01-16 12:48:35 T: 28.04 degC, P: 1022.42 hPa, H: 31.72 %rH, G: 121377 Ohms
2020-01-16 12:48:30 T: 28.01 degC, P: 1022.42 hPa, H: 31.83 %rH, G: 122621 Ohms
2020-01-16 12:48:25 T: 27.98 degC, P: 1022.42 hPa, H: 31.97 %rH, G: 121818 Ohms
2020-01-16 12:48:20 T: 27.91 degC, P: 1022.40 hPa, H: 32.07 %rH, G: 120939 Ohms
2020-01-16 12:48:15 T: 27.85 degC, P: 1022.44 hPa, H: 32.22 %rH, G: 121553 Ohms
2020-01-16 12:48:10 T: 27.79 degC, P: 1022.40 hPa, H: 32.33 %rH, G: 122442 Ohms
2020-01-16 12:48:05 T: 27.73 degC, P: 1022.42 hPa, H: 32.44 %rH, G: 122621 Ohms
2020-01-16 12:48:00 T: 27.67 degC, P: 1022.42 hPa, H: 32.32 %rH, G: 122085 Ohms
2020-01-16 12:47:55 T: 27.59 degC, P: 1022.42 hPa, H: 32.35 %rH, G: 123434 Ohms
2020-01-16 12:47:50 T: 27.51 degC, P: 1022.42 hPa, H: 32.49 %rH, G: 123616 Ohms
2020-01-16 12:47:45 T: 27.42 degC, P: 1022.44 hPa, H: 32.59 %rH, G: 124258 Ohms
2020-01-16 12:47:40 T: 27.36 degC, P: 1022.40 hPa, H: 32.66 %rH, G: 123799 Ohms
2020-01-16 12:47:35 T: 27.31 degC, P: 1022.42 hPa, H: 32.60 %rH, G: 124443 Ohms
2020-01-16 12:47:30 T: 27.29 degC, P: 1022.42 hPa, H: 32.55 %rH, G: 124814 Ohms
2020-01-16 12:47:25 T: 27.29 degC, P: 1022.44 hPa, H: 32.51 %rH, G: 124907 Ohms
2020-01-16 12:47:20 T: 27.31 degC, P: 1022.42 hPa, H: 32.52 %rH, G: 124350 Ohms
2020-01-16 12:47:15 T: 27.33 degC, P: 1022.42 hPa, H: 32.53 %rH, G: 123708 Ohms
2020-01-16 12:47:10 T: 27.34 degC, P: 1022.42 hPa, H: 32.54 %rH, G: 123525 Ohms
2020-01-16 12:47:05 T: 27.35 degC, P: 1022.42 hPa, H: 32.63 %rH, G: 122981 Ohms
2020-01-16 12:47:00 T: 27.34 degC, P: 1022.40 hPa, H: 32.69 %rH, G: 122891 Ohms
2020-01-16 12:46:55 T: 27.30 degC, P: 1022.42 hPa, H: 32.73 %rH, G: 122442 Ohms
2020-01-16 12:46:50 T: 27.28 degC, P: 1022.44 hPa, H: 32.82 %rH, G: 121907 Ohms
2020-01-16 12:46:45 T: 27.25 degC, P: 1022.44 hPa, H: 32.94 %rH, G: 121553 Ohms
2020-01-16 12:46:40 T: 27.20 degC, P: 1022.40 hPa, H: 32.99 %rH, G: 121907 Ohms
2020-01-16 12:46:35 T: 27.18 degC, P: 1022.40 hPa, H: 33.08 %rH, G: 120764 Ohms
2020-01-16 12:46:30 T: 27.15 degC, P: 1022.42 hPa, H: 33.15 %rH, G: 120330 Ohms
2020-01-16 12:46:25 T: 27.12 degC, P: 1022.42 hPa, H: 33.20 %rH, G: 119472 Ohms
2020-01-16 12:46:20 T: 27.10 degC, P: 1022.44 hPa, H: 33.26 %rH, G: 119387 Ohms
2020-01-16 12:46:15 T: 27.07 degC, P: 1022.42 hPa, H: 33.30 %rH, G: 118542 Ohms
2020-01-16 12:46:10 T: 27.07 degC, P: 1022.42 hPa, H: 33.34 %rH, G: 117215 Ohms
2020-01-16 12:46:05 T: 27.06 degC, P: 1022.42 hPa, H: 33.35 %rH, G: 114962 Ohms
2020-01-16 12:46:00 T: 27.08 degC, P: 1022.42 hPa, H: 33.33 %rH, G: 112795 Ohms
2020-01-16 12:45:55 T: 27.09 degC, P: 1022.40 hPa, H: 33.32 %rH, G: 110343 Ohms
2020-01-16 12:45:50 T: 27.09 degC, P: 1022.40 hPa, H: 33.28 %rH, G: 107166 Ohms
2020-01-16 12:45:45 T: 27.08 degC, P: 1022.40 hPa, H: 33.29 %rH, G: 102196 Ohms
2020-01-16 12:45:40 T: 27.06 degC, P: 1022.42 hPa, H: 33.35 %rH, G: 96933 Ohms
2020-01-16 12:45:35 T: 27.02 degC, P: 1022.42 hPa, H: 33.40 %rH, G: 91702 Ohms
2020-01-16 12:45:30 T: 26.96 degC, P: 1022.44 hPa, H: 33.49 %rH, G: 83227 Ohms
2020-01-16 12:45:25 T: 26.86 degC, P: 1022.44 hPa, H: 33.63 %rH, G: 88225 Ohms
2020-01-16 12:45:10 T: 26.78 degC, P: 1022.44 hPa, H: 33.92 %rH, G: 93996 Ohms
2020-01-16 12:44:55 T: 26.67 degC, P: 1022.42 hPa, H: 34.42 %rH, G: 105479 Ohms
2020-01-16 12:44:40 T: 26.59 degC, P: 1022.44 hPa, H: 34.80 %rH, G: 125562 Ohms
2020-01-16 12:44:25 T: 26.55 degC, P: 1022.44 hPa, H: 34.98 %rH, G: 127668 Ohms
2020-01-16 12:44:20 T: 26.48 degC, P: 1022.44 hPa, H: 35.15 %rH, G: 127473 Ohms
2020-01-16 12:44:15 T: 26.42 degC, P: 1022.44 hPa, H: 35.36 %rH, G: 127376 Ohms
2020-01-16 12:44:10 T: 26.34 degC, P: 1022.42 hPa, H: 35.51 %rH, G: 128254 Ohms
2020-01-16 12:44:05 T: 26.31 degC, P: 1022.47 hPa, H: 35.67 %rH, G: 125751 Ohms
2020-01-16 12:44:00 T: 26.28 degC, P: 1022.46 hPa, H: 35.86 %rH, G: 124258 Ohms
2020-01-16 12:43:55 T: 26.24 degC, P: 1022.46 hPa, H: 36.12 %rH, G: 125000 Ohms
2020-01-16 12:43:49 T: 26.17 degC, P: 1022.49 hPa, H: 36.38 %rH, G: 125187 Ohms
2020-01-16 12:43:44 T: 26.12 degC, P: 1022.51 hPa, H: 36.69 %rH, G: 124443 Ohms
2020-01-16 12:43:39 T: 26.05 degC, P: 1022.51 hPa, H: 37.06 %rH, G: 123982 Ohms
2020-01-16 12:43:34 T: 25.98 degC, P: 1022.55 hPa, H: 37.49 %rH, G: 122891 Ohms
2020-01-16 12:43:29 T: 25.91 degC, P: 1022.53 hPa, H: 38.01 %rH, G: 122711 Ohms
2020-01-16 12:43:24 T: 25.84 degC, P: 1022.59 hPa, H: 38.72 %rH, G: 122352 Ohms
2020-01-16 12:43:19 T: 25.77 degC, P: 1022.59 hPa, H: 39.64 %rH, G: 121026 Ohms
2020-01-16 12:43:14 T: 25.70 degC, P: 1022.65 hPa, H: 40.77 %rH, G: 119387 Ohms
2020-01-16 12:43:09 T: 25.66 degC, P: 1022.71 hPa, H: 41.70 %rH, G: 117379 Ohms
2020-01-16 12:43:04 T: 25.62 degC, P: 1022.79 hPa, H: 42.09 %rH, G: 117379 Ohms
2020-01-16 12:42:59 T: 25.59 degC, P: 1022.93 hPa, H: 42.16 %rH, G: 116078 Ohms
2020-01-16 12:42:54 T: 25.69 degC, P: 1023.08 hPa, H: 42.22 %rH, G: 115041 Ohms
2020-01-16 12:42:49 T: 25.86 degC, P: 1023.33 hPa, H: 42.45 %rH, G: 112416 Ohms
2020-01-16 12:42:44 T: 26.08 degC, P: 1023.58 hPa, H: 44.03 %rH, G: 108908 Ohms
