2020-01-06 13:48:59 T: 23.95 degC, P: 1022.32 hPa, H: 38.03 %rH, G: 25435 Ohms
2020-01-06 13:49:04 T: 23.95 degC, P: 1022.34 hPa, H: 37.97 %rH, G: 38956 Ohms
2020-01-06 13:49:09 T: 23.95 degC, P: 1022.36 hPa, H: 37.95 %rH, G: 51752 Ohms
2020-01-06 13:49:14 T: 23.96 degC, P: 1022.36 hPa, H: 37.95 %rH, G: 63386 Ohms
2020-01-06 13:49:19 T: 23.96 degC, P: 1022.36 hPa, H: 37.93 %rH, G: 73447 Ohms
2020-01-06 13:49:24 T: 23.97 degC, P: 1022.34 hPa, H: 37.90 %rH, G: 82327 Ohms
2020-01-06 13:49:29 T: 23.97 degC, P: 1022.36 hPa, H: 37.84 %rH, G: 89450 Ohms
2020-01-06 13:49:34 T: 23.97 degC, P: 1022.38 hPa, H: 37.84 %rH, G: 94260 Ohms
2020-01-06 13:49:39 T: 23.98 degC, P: 1022.38 hPa, H: 37.90 %rH, G: 99112 Ohms
2020-01-06 13:49:44 T: 23.98 degC, P: 1022.38 hPa, H: 37.97 %rH, G: 103459 Ohms
2020-01-06 13:49:49 T: 23.99 degC, P: 1022.36 hPa, H: 38.05 %rH, G: 107441 Ohms
2020-01-06 13:49:54 T: 23.99 degC, P: 1022.38 hPa, H: 38.06 %rH, G: 111816 Ohms
2020-01-06 13:49:59 T: 23.99 degC, P: 1022.40 hPa, H: 38.01 %rH, G: 114334 Ohms
2020-01-06 13:50:04 T: 24.00 degC, P: 1022.38 hPa, H: 37.97 %rH, G: 117461 Ohms
2020-01-06 13:50:09 T: 24.00 degC, P: 1022.36 hPa, H: 37.93 %rH, G: 119814 Ohms
2020-01-06 13:50:14 T: 24.00 degC, P: 1022.34 hPa, H: 37.89 %rH, G: 121818 Ohms
2020-01-06 13:50:19 T: 24.01 degC, P: 1022.32 hPa, H: 37.89 %rH, G: 124074 Ohms
2020-01-06 13:50:24 T: 24.01 degC, P: 1022.32 hPa, H: 37.89 %rH, G: 126225 Ohms
2020-01-06 13:50:29 T: 24.01 degC, P: 1022.32 hPa, H: 37.84 %rH, G: 128451 Ohms
2020-01-06 13:50:34 T: 24.01 degC, P: 1022.30 hPa, H: 37.77 %rH, G: 129344 Ohms
2020-01-06 13:50:39 T: 24.01 degC, P: 1022.30 hPa, H: 37.76 %rH, G: 131064 Ohms
2020-01-06 13:50:44 T: 24.01 degC, P: 1022.30 hPa, H: 37.79 %rH, G: 132621 Ohms
2020-01-06 13:50:49 T: 24.01 degC, P: 1022.30 hPa, H: 37.81 %rH, G: 134322 Ohms
2020-01-06 13:50:54 T: 24.01 degC, P: 1022.30 hPa, H: 37.85 %rH, G: 134107 Ohms
2020-01-06 13:50:59 T: 24.01 degC, P: 1022.30 hPa, H: 37.91 %rH, G: 135299 Ohms
2020-01-06 13:51:04 T: 24.01 degC, P: 1022.34 hPa, H: 37.95 %rH, G: 135628 Ohms
2020-01-06 13:51:09 T: 24.01 degC, P: 1022.34 hPa, H: 37.99 %rH, G: 136401 Ohms
