2020-01-03 15:21:41 T: 24.54 degC, P: 1018.17 hPa, H: 42.77 %rH, G: 143900 Ohms
2020-01-03 15:21:46 T: 24.52 degC, P: 1018.17 hPa, H: 42.86 %rH, G: 167500 Ohms
2020-01-03 15:21:51 T: 24.49 degC, P: 1018.15 hPa, H: 43.01 %rH, G: 175577 Ohms
2020-01-03 15:21:56 T: 24.46 degC, P: 1018.13 hPa, H: 43.16 %rH, G: 179336 Ohms
2020-01-03 15:22:01 T: 24.43 degC, P: 1018.09 hPa, H: 43.27 %rH, G: 182661 Ohms
2020-01-03 15:22:06 T: 24.40 degC, P: 1018.13 hPa, H: 43.40 %rH, G: 182661 Ohms
2020-01-03 15:22:11 T: 24.37 degC, P: 1018.13 hPa, H: 43.56 %rH, G: 183461 Ohms
2020-01-03 15:22:16 T: 24.34 degC, P: 1018.13 hPa, H: 43.67 %rH, G: 183662 Ohms
2020-01-03 15:22:21 T: 24.31 degC, P: 1018.17 hPa, H: 43.74 %rH, G: 184879 Ohms
2020-01-03 15:22:26 T: 24.28 degC, P: 1018.13 hPa, H: 43.78 %rH, G: 184879 Ohms
2020-01-03 15:22:31 T: 24.25 degC, P: 1018.15 hPa, H: 43.87 %rH, G: 185493 Ohms
2020-01-03 15:22:36 T: 24.22 degC, P: 1018.13 hPa, H: 43.91 %rH, G: 185905 Ohms
2020-01-03 15:22:41 T: 24.19 degC, P: 1018.15 hPa, H: 43.97 %rH, G: 186111 Ohms
2020-01-03 15:22:46 T: 24.16 degC, P: 1018.15 hPa, H: 44.07 %rH, G: 186111 Ohms
2020-01-03 15:22:51 T: 24.13 degC, P: 1018.15 hPa, H: 44.12 %rH, G: 186734 Ohms
2020-01-03 15:22:56 T: 24.10 degC, P: 1018.11 hPa, H: 44.21 %rH, G: 186318 Ohms
2020-01-03 15:23:01 T: 24.08 degC, P: 1018.11 hPa, H: 44.30 %rH, G: 186942 Ohms
2020-01-03 15:23:06 T: 24.05 degC, P: 1018.13 hPa, H: 44.42 %rH, G: 184963 Ohms
2020-01-03 15:23:11 T: 24.03 degC, P: 1018.15 hPa, H: 44.47 %rH, G: 186526 Ohms
